epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.095,1.38087,4.55402,1.69777,0.55362,0.16084,0.13363,0.08322,1.48041,3.0809,1.80533,0.07012,0.00332,0.00332
2,255.901,1.25408,2.93518,1.55497,0.66813,0.20433,0.19342,0.11102,1.64575,2.84114,1.97191,0.0400541,0.00658747,0.00658747
3,378.292,1.32425,2.81728,1.61577,0.5899,0.19062,0.16857,0.1011,1.57057,3.09551,1.90953,0.00992226,0.00978893,0.00978893
4,500.458,1.40715,2.94087,1.68375,0.43125,0.14794,0.14171,0.08119,1.74201,3.37437,2.15782,0.009703,0.009703,0.009703
5,619.711,1.41983,2.88539,1.69717,0.43209,0.19975,0.18477,0.10635,1.66091,2.88278,1.99646,0.009604,0.009604,0.009604
6,741.613,1.38724,2.76667,1.67588,0.48767,0.16238,0.18563,0.11552,1.53228,2.76226,1.87814,0.009505,0.009505,0.009505
7,860.436,1.35587,2.58418,1.64888,0.44147,0.18638,0.21001,0.12494,1.64542,2.69184,1.95308,0.009406,0.009406,0.009406
8,982.697,1.33932,2.52796,1.63705,0.51228,0.21255,0.24881,0.15545,1.5832,2.42441,1.87603,0.009307,0.009307,0.009307
9,1103.83,1.32247,2.43338,1.61056,0.53872,0.25101,0.28854,0.1883,1.42254,2.23997,1.74517,0.009208,0.009208,0.009208
10,1226.01,1.30044,2.33752,1.59852,0.55936,0.271,0.28891,0.18304,1.4898,2.31045,1.83326,0.009109,0.009109,0.009109
11,1345.27,1.28031,2.251,1.58926,0.60348,0.2864,0.31379,0.2094,1.34621,2.00559,1.68936,0.00901,0.00901,0.00901
12,1464.96,1.25401,2.17099,1.56985,0.62323,0.27734,0.31571,0.21028,1.37579,2.0703,1.7154,0.008911,0.008911,0.008911
13,1584.56,1.25452,2.11298,1.54961,0.52874,0.29366,0.31552,0.19996,1.5091,2.08241,1.85168,0.008812,0.008812,0.008812
